17,11
18,14
20,16
18,14
16,10
17,11
16,10
18,14
17,13
21,17
20,16
19,15
22,18
18,12
17,11
16,12
18,14
17,11
19,15
21,17
19,15
16,10
19,15
18,12
16,10
17,11
18,12
17,13
22,18
20,16
22,18
16,12
19,15
17,13
22,18
19,15
19,15
17,13
16,12
20,16
19,15
22,18
21,17
16,10
21,17
17,11
20,16
20,18
17,13
18,14
21,17
17,11
22,18
19,15
21,17
22,18
21,17
17,13
16,10
16,12
20,16
17,13
20,18
18,14
16,10
16,10
17,13
19,15
17,13
19,15
20,16
17,11
18,14
