0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,-50.50000000000003,-81.53903384260046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-356.59855404525,0.0,0.0,-306.4892234031216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-144.75916666666666,0.0,0.0,0.0,-144.70412569644373,-116.61666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-227.62298588333337,0.0,0.0,0.0,0.0,-38.07416036139262,0.0,0.0,-174.66278951999772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-127.1666666666667,0.0,0.0,0.0,-135.38490815683338,-140.66134246439992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-79.60084608102727,0.0,0.0,0.0,0.0,-95.24854307209756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-101.96666666666667,-115.83333333333334,0.0,0.0,0.0,-44.740823468459375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-54.025,-82.44288364676885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.53307762845769,0.0,0.0,-58.864892580479776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-147.63506597404054,0.0,0.0,-135.70753434585666,0.0,0.0,0.0,-27.000006296105255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-179.97433333333336,0.0,0.0,0.0,0.0,-178.32223599531963,0.0,-145.34885969674488,0.0,-142.2971878205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347.4160618166245,0.0,-310.73803159549965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.28767266449265,0.0,-183.8561920525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.07415553591342,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.67212006995996,0.0,-29.11673832952755,0.0,-169.9514143988003,0.0,-79.78950741456521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.19739757272835,-110.95075821029151,0.0,0.0,0.0,-85.7027764157859,0.0,-99.58394276,-103.2864304836312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.73700000000001,0.0,0.0,-34.94714245773376,0.0,0.0,0.0,-64.52308614500001,-66.93679001137653,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.11458333333334,-193.29422633333337,0.0,0.0,0.0,0.0,0.0,0.0,-159.57076443497579,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.520598166666666,0.0,0.0,0.0,0.0,0.0,0.0,-19.476915733333335,0.0,0.0,0.0,0.0,-19.85278282402567,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.66666666666665,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.966666666666667,0.0,-5.460133333333333,0.0,0.0,-2.9166666666666665,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.3770706296543,-133.77068333333335,0.0,0.0,0.0,0.0,0.0,0.0,-143.19050002320384,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.277044829539552,0.0,0.0,0.0,0.0,-23.052646396425587,0.0,0.0,-15.493128333333336,-14.833333237691487
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.80315281666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.48671326423553,-38.74082719220023,0.0,-86.09754390213818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.999999823106588,0.0,0.0,-15.229259327911501,-15.30355,0.0
